Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population,DeathCount,Code
New Mexico,Hodgkin Lymphoma,2017,Male and Female,All Races,2,43,2093395,Na,NM
New York,Hodgkin Lymphoma,2017,Male and Female,All Races,3.1,640,19590719,59,NY
North Carolina,Hodgkin Lymphoma,2017,Male and Female,All Races,2.6,280,10270800,36,NC
North Dakota,Hodgkin Lymphoma,2017,Male and Female,All Races,1,Na,755176,Na,ND
Ohio,Hodgkin Lymphoma,2017,Male and Female,All Races,2.7,329,11664129,44,OH
Oklahoma,Hodgkin Lymphoma,2017,Male and Female,All Races,1.8,75,3932640,22,OK
Oregon,Hodgkin Lymphoma,2017,Male and Female,All Races,2.5,105,4146592,Na,OR
Pennsylvania,Hodgkin Lymphoma,2017,Male and Female,All Races,3.2,415,12790447,27,PA
Rhode Island,Hodgkin Lymphoma,2017,Male and Female,All Races,4.1,47,1056486,Na,RI
South Carolina,Hodgkin Lymphoma,2017,Male and Female,All Races,2.3,120,5021219,Na,SC
South Dakota,Hodgkin Lymphoma,2017,Male and Female,All Races,1.9,17,873286,Na,SD
Tennessee,Hodgkin Lymphoma,2017,Male and Female,All Races,2.3,161,6708794,26,TN
Texas,Hodgkin Lymphoma,2017,Male and Female,All Races,2.2,627,28322717,87,TX
Utah,Hodgkin Lymphoma,2017,Male and Female,All Races,2.1,68,3103118,Na,UT
Vermont,Hodgkin Lymphoma,2017,Male and Female,All Races,3.1,22,624525,Na,VT
Virginia,Hodgkin Lymphoma,2017,Male and Female,All Races,2.5,214,8465207,21,VA
Washington,Hodgkin Lymphoma,2017,Male and Female,All Races,2.1,161,7425432,16,WA
West Virginia,Hodgkin Lymphoma,2017,Male and Female,All Races,2.8,51,1817048,Na,WV
Wisconsin,Hodgkin Lymphoma,2017,Male and Female,All Races,2.8,170,5792051,20,WI
Wyoming,Hodgkin Lymphoma,2017,Male and Female,All Races,2.9,17,578934,Na,WY
Alabama,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,4875120,Na,AL
Alaska,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,739786,Na,AK
Arizona,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,7048876,Na,AZ
Arkansas,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,3002997,Na,AR
California,Kaposi Sarcoma,2017,Male and Female,All Races,0.4,178,39399349,Na,CA
Colorado,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,5615902,Na,CO
Connecticut,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,3573880,Na,CT
Delaware,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,957078,Na,DE
District of Columbia,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,695691,Na,DC
Florida,Kaposi Sarcoma,2017,Male and Female,All Races,0.4,89,20976812,Na,FL
Georgia,Kaposi Sarcoma,2017,Male and Female,All Races,0.6,63,10413055,Na,GA
Hawaii,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,1424203,Na,HI
Idaho,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,1718904,Na,ID
Illinois,Kaposi Sarcoma,2017,Male and Female,All Races,0.2,29,12786196,Na,IL
Indiana,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,6660082,Na,IN
Iowa,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,3143637,Na,IA
Kansas,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,2910689,Na,KS
Kentucky,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,4453874,Na,KY
Louisiana,Kaposi Sarcoma,2017,Male and Female,All Races,0.5,22,4670818,Na,LA
Maine,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,1335063,Na,ME
Maryland,Kaposi Sarcoma,2017,Male and Female,All Races,0.3,20,6024891,Na,MD
Massachusetts,Kaposi Sarcoma,2017,Male and Female,All Races,0.4,28,6863246,Na,MA
Michigan,Kaposi Sarcoma,2017,Male and Female,All Races,0.2,19,9976447,Na,MI
Minnesota,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,5568155,Na,MN
Mississippi,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,2989663,Na,MS
Missouri,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,6108612,Na,MO
Montana,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,1053090,Na,MT
Nebraska,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,1917575,Na,NE
Nevada,Kaposi Sarcoma,2017,Male and Female,All Races,0.6,18,2972405,Na,NV
New Hampshire,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,1349767,Na,NH
New Jersey,Kaposi Sarcoma,2017,Male and Female,All Races,0.2,22,8888543,Na,NJ
New Mexico,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,2093395,Na,NM
New York,Kaposi Sarcoma,2017,Male and Female,All Races,0.6,123,19590719,Na,NY
North Carolina,Kaposi Sarcoma,2017,Male and Female,All Races,0.2,22,10270800,Na,NC
North Dakota,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,755176,Na,ND
Ohio,Kaposi Sarcoma,2017,Male and Female,All Races,0.2,25,11664129,Na,OH
Oklahoma,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,3932640,Na,OK
Oregon,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,4146592,Na,OR
Pennsylvania,Kaposi Sarcoma,2017,Male and Female,All Races,0.3,35,12790447,Na,PA
Rhode Island,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,1056486,Na,RI
South Carolina,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,5021219,Na,SC
South Dakota,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,873286,Na,SD
Tennessee,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,6708794,Na,TN
Texas,Kaposi Sarcoma,2017,Male and Female,All Races,0.5,129,28322717,Na,TX
Utah,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,3103118,Na,UT
Vermont,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,624525,Na,VT
Virginia,Kaposi Sarcoma,2017,Male and Female,All Races,0.2,17,8465207,Na,VA
Washington,Kaposi Sarcoma,2017,Male and Female,All Races,0.2,19,7425432,Na,WA
West Virginia,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,1817048,Na,WV
Wisconsin,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,5792051,Na,WI
Wyoming,Kaposi Sarcoma,2017,Male and Female,All Races,1,Na,578934,Na,WY
Alabama,Kidney and Renal Pelvis,2017,Male and Female,All Races,18.3,1089,4875120,239,AL
Alaska,Kidney and Renal Pelvis,2017,Male and Female,All Races,16.5,124,739786,22,AK
Arizona,Kidney and Renal Pelvis,2017,Male and Female,All Races,16.4,1406,7048876,327,AZ
Arkansas,Kidney and Renal Pelvis,2017,Male and Female,All Races,21.3,769,3002997,177,AR
California,Kidney and Renal Pelvis,2017,Male and Female,All Races,15,6559,39399349,1420,CA
Colorado,Kidney and Renal Pelvis,2017,Male and Female,All Races,13.5,837,5615902,162,CO
Connecticut,Kidney and Renal Pelvis,2017,Male and Female,All Races,16.6,749,3573880,146,CT
Delaware,Kidney and Renal Pelvis,2017,Male and Female,All Races,16.8,207,957078,46,DE
District of Columbia,Kidney and Renal Pelvis,2017,Male and Female,All Races,12.8,88,695691,Na,DC
Florida,Kidney and Renal Pelvis,2017,Male and Female,All Races,13.8,3982,20976812,966,FL
Georgia,Kidney and Renal Pelvis,2017,Male and Female,All Races,17.5,2021,10413055,402,GA
Hawaii,Kidney and Renal Pelvis,2017,Male and Female,All Races,13.2,241,1424203,44,HI
Idaho,Kidney and Renal Pelvis,2017,Male and Female,All Races,17.2,334,1718904,83,ID
Illinois,Kidney and Renal Pelvis,2017,Male and Female,All Races,17.7,2646,12786196,548,IL
Indiana,Kidney and Renal Pelvis,2017,Male and Female,All Races,17.1,1344,6660082,336,IN
Iowa,Kidney and Renal Pelvis,2017,Male and Female,All Races,18.6,713,3143637,181,IA
Kansas,Kidney and Renal Pelvis,2017,Male and Female,All Races,20.2,685,2910689,156,KS
Kentucky,Kidney and Renal Pelvis,2017,Male and Female,All Races,21.7,1161,4453874,230,KY
Louisiana,Kidney and Renal Pelvis,2017,Male and Female,All Races,22.7,1249,4670818,250,LA
Maine,Kidney and Renal Pelvis,2017,Male and Female,All Races,16,308,1335063,70,ME
Maryland,Kidney and Renal Pelvis,2017,Male and Female,All Races,14.8,1065,6024891,212,MD
Massachusetts,Kidney and Renal Pelvis,2017,Male and Female,All Races,14.7,1253,6863246,244,MA
Michigan,Kidney and Renal Pelvis,2017,Male and Female,All Races,16.6,2074,9976447,468,MI
Minnesota,Kidney and Renal Pelvis,2017,Male and Female,All Races,16.4,1089,5568155,234,MN
Mississippi,Kidney and Renal Pelvis,2017,Male and Female,All Races,22,765,2989663,160,MS
Missouri,Kidney and Renal Pelvis,2017,Male and Female,All Races,20.3,1525,6108612,339,MO
Montana,Kidney and Renal Pelvis,2017,Male and Female,All Races,17.9,250,1053090,49,MT
Nebraska,Kidney and Renal Pelvis,2017,Male and Female,All Races,17.4,380,1917575,111,NE
Nevada,Kidney and Renal Pelvis,2017,Male and Female,All Races,15.3,524,2972405,120,NV
New Hampshire,Kidney and Renal Pelvis,2017,Male and Female,All Races,17.2,306,1349767,58,NH
New Jersey,Kidney and Renal Pelvis,2017,Male and Female,All Races,16.2,1763,8888543,322,NJ
New Mexico,Kidney and Renal Pelvis,2017,Male and Female,All Races,15.1,372,2093395,96,NM
New York,Kidney and Renal Pelvis,2017,Male and Female,All Races,16.7,3973,19590719,678,NY
North Carolina,Kidney and Renal Pelvis,2017,Male and Female,All Races,17.3,2167,10270800,459,NC
North Dakota,Kidney and Renal Pelvis,2017,Male and Female,All Races,18.1,154,755176,27,ND
Ohio,Kidney and Renal Pelvis,2017,Male and Female,All Races,17.6,2509,11664129,598,OH
Oklahoma,Kidney and Renal Pelvis,2017,Male and Female,All Races,19.5,895,3932640,229,OK
Oregon,Kidney and Renal Pelvis,2017,Male and Female,All Races,14.9,770,4146592,190,OR
Pennsylvania,Kidney and Renal Pelvis,2017,Male and Female,All Races,18,2971,12790447,621,PA
Rhode Island,Kidney and Renal Pelvis,2017,Male and Female,All Races,13.7,180,1056486,50,RI
South Carolina,Kidney and Renal Pelvis,2017,Male and Female,All Races,16.9,1072,5021219,210,SC
South Dakota,Kidney and Renal Pelvis,2017,Male and Female,All Races,16.8,174,873286,43,SD
Tennessee,Kidney and Renal Pelvis,2017,Male and Female,All Races,19.7,1589,6708794,338,TN
Texas,Kidney and Renal Pelvis,2017,Male and Female,All Races,19.3,5550,28322717,1133,TX
Utah,Kidney and Renal Pelvis,2017,Male and Female,All Races,14.2,387,3103118,79,UT
Vermont,Kidney and Renal Pelvis,2017,Male and Female,All Races,15.1,127,624525,37,VT
Virginia,Kidney and Renal Pelvis,2017,Male and Female,All Races,15.7,1576,8465207,312,VA
Washington,Kidney and Renal Pelvis,2017,Male and Female,All Races,14.8,1285,7425432,285,WA
West Virginia,Kidney and Renal Pelvis,2017,Male and Female,All Races,21.4,528,1817048,115,WV
Wisconsin,Kidney and Renal Pelvis,2017,Male and Female,All Races,19,1364,5792051,285,WI
Wyoming,Kidney and Renal Pelvis,2017,Male and Female,All Races,14.7,102,578934,37,WY
Alabama,Larynx,2017,Male and Female,All Races,4,255,4875120,75,AL
Alaska,Larynx,2017,Male and Female,All Races,1,Na,739786,Na,AK
Arizona,Larynx,2017,Male and Female,All Races,2.2,199,7048876,70,AZ
Arkansas,Larynx,2017,Male and Female,All Races,3.8,148,3002997,48,AR
California,Larynx,2017,Male and Female,All Races,1.7,765,39399349,249,CA
Colorado,Larynx,2017,Male and Female,All Races,1.9,123,5615902,35,CO
Connecticut,Larynx,2017,Male and Female,All Races,3.3,162,3573880,40,CT
Delaware,Larynx,2017,Male and Female,All Races,3.4,46,957078,Na,DE
District of Columbia,Larynx,2017,Male and Female,All Races,3.5,23,695691,Na,DC
Florida,Larynx,2017,Male and Female,All Races,3.4,1028,20976812,355,FL
Georgia,Larynx,2017,Male and Female,All Races,3.6,433,10413055,122,GA
Hawaii,Larynx,2017,Male and Female,All Races,1.8,35,1424203,Na,HI
Idaho,Larynx,2017,Male and Female,All Races,1.8,37,1718904,Na,ID
Illinois,Larynx,2017,Male and Female,All Races,3.5,549,12786196,152,IL
Indiana,Larynx,2017,Male and Female,All Races,3.5,296,6660082,79,IN
Iowa,Larynx,2017,Male and Female,All Races,3.5,143,3143637,42,IA
Kansas,Larynx,2017,Male and Female,All Races,2.6,96,2910689,20,KS
Kentucky,Larynx,2017,Male and Female,All Races,5.3,299,4453874,81,KY
Louisiana,Larynx,2017,Male and Female,All Races,4.7,274,4670818,68,LA
Maine,Larynx,2017,Male and Female,All Races,2.9,61,1335063,25,ME
Maryland,Larynx,2017,Male and Female,All Races,2.1,160,6024891,58,MD
Massachusetts,Larynx,2017,Male and Female,All Races,2.6,226,6863246,70,MA
Michigan,Larynx,2017,Male and Female,All Races,3.1,413,9976447,159,MI
Minnesota,Larynx,2017,Male and Female,All Races,2.8,198,5568155,37,MN
Mississippi,Larynx,2017,Male and Female,All Races,4.6,175,2989663,47,MS
Missouri,Larynx,2017,Male and Female,All Races,3.9,306,6108612,89,MO
Montana,Larynx,2017,Male and Female,All Races,2.7,38,1053090,Na,MT
Nebraska,Larynx,2017,Male and Female,All Races,2.9,69,1917575,28,NE
Nevada,Larynx,2017,Male and Female,All Races,2,70,2972405,23,NV
New Hampshire,Larynx,2017,Male and Female,All Races,2.8,54,1349767,Na,NH
New Jersey,Larynx,2017,Male and Female,All Races,2.5,286,8888543,88,NJ
New Mexico,Larynx,2017,Male and Female,All Races,2,57,2093395,20,NM
New York,Larynx,2017,Male and Female,All Races,3,753,19590719,204,NY
North Carolina,Larynx,2017,Male and Female,All Races,4,517,10270800,137,NC
North Dakota,Larynx,2017,Male and Female,All Races,2.5,24,755176,Na,ND
Ohio,Larynx,2017,Male and Female,All Races,3.9,591,11664129,187,OH
Oklahoma,Larynx,2017,Male and Female,All Races,3.4,164,3932640,44,OK
Oregon,Larynx,2017,Male and Female,All Races,2,116,4146592,27,OR
Pennsylvania,Larynx,2017,Male and Female,All Races,3.3,579,12790447,183,PA
Rhode Island,Larynx,2017,Male and Female,All Races,2.7,36,1056486,Na,RI
South Carolina,Larynx,2017,Male and Female,All Races,4.1,275,5021219,95,SC
South Dakota,Larynx,2017,Male and Female,All Races,3.2,36,873286,Na,SD
Tennessee,Larynx,2017,Male and Female,All Races,4.2,364,6708794,106,TN
Texas,Larynx,2017,Male and Female,All Races,2.7,810,28322717,237,TX
Utah,Larynx,2017,Male and Female,All Races,1.5,41,3103118,Na,UT
Vermont,Larynx,2017,Male and Female,All Races,2.8,25,624525,Na,VT
Virginia,Larynx,2017,Male and Female,All Races,2.6,274,8465207,101,VA
Washington,Larynx,2017,Male and Female,All Races,2.2,198,7425432,60,WA
West Virginia,Larynx,2017,Male and Female,All Races,5,127,1817048,51,WV
Wisconsin,Larynx,2017,Male and Female,All Races,3,234,5792051,77,WI
Wyoming,Larynx,2017,Male and Female,All Races,3.1,23,578934,Na,WY
Alabama,Leukemias,2017,Male and Female,All Races,12.1,695,4875120,354,AL
Alaska,Leukemias,2017,Male and Female,All Races,11.3,77,739786,30,AK
Arizona,Leukemias,2017,Male and Female,All Races,10,824,7048876,501,AZ
Arkansas,Leukemias,2017,Male and Female,All Races,14.3,513,3002997,236,AR
California,Leukemias,2017,Male and Female,All Races,11.5,4795,39399349,2379,CA
Colorado,Leukemias,2017,Male and Female,All Races,12.4,734,5615902,318,CO
Connecticut,Leukemias,2017,Male and Female,All Races,15.8,692,3573880,270,CT
Delaware,Leukemias,2017,Male and Female,All Races,11,134,957078,88,DE
District of Columbia,Leukemias,2017,Male and Female,All Races,9.3,58,695691,37,DC
Florida,Leukemias,2017,Male and Female,All Races,15.3,4294,20976812,1876,FL
Georgia,Leukemias,2017,Male and Female,All Races,14.1,1534,10413055,633,GA
Hawaii,Leukemias,2017,Male and Female,All Races,10.7,187,1424203,96,HI
Idaho,Leukemias,2017,Male and Female,All Races,15.8,300,1718904,131,ID
Illinois,Leukemias,2017,Male and Female,All Races,13.3,1933,12786196,939,IL
Indiana,Leukemias,2017,Male and Female,All Races,12.1,927,6660082,513,IN
Iowa,Leukemias,2017,Male and Female,All Races,14.8,561,3143637,277,IA
Kansas,Leukemias,2017,Male and Female,All Races,13.4,443,2910689,247,KS
Kentucky,Leukemias,2017,Male and Female,All Races,15.8,832,4453874,362,KY
Louisiana,Leukemias,2017,Male and Female,All Races,12.5,654,4670818,323,LA
Maine,Leukemias,2017,Male and Female,All Races,15.2,277,1335063,128,ME
Maryland,Leukemias,2017,Male and Female,All Races,11.8,813,6024891,420,MD
Massachusetts,Leukemias,2017,Male and Female,All Races,12,981,6863246,510,MA
Michigan,Leukemias,2017,Male and Female,All Races,13.3,1617,9976447,816,MI
Minnesota,Leukemias,2017,Male and Female,All Races,16.3,1057,5568155,443,MN
Mississippi,Leukemias,2017,Male and Female,All Races,11.8,402,2989663,228,MS
Missouri,Leukemias,2017,Male and Female,All Races,13.6,1006,6108612,489,MO
Montana,Leukemias,2017,Male and Female,All Races,14.4,194,1053090,79,MT
Nebraska,Leukemias,2017,Male and Female,All Races,13.3,291,1917575,151,NE
Nevada,Leukemias,2017,Male and Female,All Races,13.2,436,2972405,188,NV
New Hampshire,Leukemias,2017,Male and Female,All Races,12.3,208,1349767,97,NH
New Jersey,Leukemias,2017,Male and Female,All Races,15.6,1642,8888543,699,NJ
New Mexico,Leukemias,2017,Male and Female,All Races,12.6,303,2093395,121,NM
New York,Leukemias,2017,Male and Female,All Races,15.2,3542,19590719,1407,NY
North Carolina,Leukemias,2017,Male and Female,All Races,13.8,1644,10270800,684,NC
North Dakota,Leukemias,2017,Male and Female,All Races,15.6,130,755176,65,ND
Ohio,Leukemias,2017,Male and Female,All Races,11.8,1660,11664129,993,OH
Oklahoma,Leukemias,2017,Male and Female,All Races,13.4,601,3932640,302,OK
Oregon,Leukemias,2017,Male and Female,All Races,12.7,634,4146592,348,OR
Pennsylvania,Leukemias,2017,Male and Female,All Races,14.8,2404,12790447,1122,PA
Rhode Island,Leukemias,2017,Male and Female,All Races,12.7,158,1056486,93,RI
South Carolina,Leukemias,2017,Male and Female,All Races,12.5,752,5021219,375,SC
South Dakota,Leukemias,2017,Male and Female,All Races,16.5,165,873286,62,SD
Tennessee,Leukemias,2017,Male and Female,All Races,13.3,1031,6708794,515,TN
Texas,Leukemias,2017,Male and Female,All Races,13.2,3682,28322717,1631,TX
Utah,Leukemias,2017,Male and Female,All Races,14.7,418,3103118,160,UT
Vermont,Leukemias,2017,Male and Female,All Races,9,74,624525,50,VT
Virginia,Leukemias,2017,Male and Female,All Races,9.9,941,8465207,545,VA
Washington,Leukemias,2017,Male and Female,All Races,14.2,1189,7425432,502,WA
West Virginia,Leukemias,2017,Male and Female,All Races,15,362,1817048,176,WV
Wisconsin,Leukemias,2017,Male and Female,All Races,14,1002,5792051,482,WI
Wyoming,Leukemias,2017,Male and Female,All Races,11.5,78,578934,36,WY
Alabama,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.9,510,4875120,428,AL
Alaska,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,9.1,72,739786,40,AK
Arizona,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.6,692,7048876,580,AZ
Arkansas,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.9,310,3002997,266,AR
California,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,9.3,4229,39399349,3456,CA
Colorado,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.3,484,5615902,364,CO
Connecticut,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.7,372,3573880,296,CT
Delaware,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8.4,115,957078,115,DE
District of Columbia,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,10.4,75,695691,58,DC
Florida,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.4,2304,20976812,1925,FL
Georgia,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8,961,10413055,760,GA
Hawaii,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,10.2,195,1424203,153,HI
Idaho,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.1,149,1718904,122,ID
Illinois,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.6,1207,12786196,956,IL
Indiana,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.8,569,6660082,499,IN
Iowa,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.3,293,3143637,233,IA
Kansas,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.3,268,2910689,207,KS
Kentucky,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8.1,462,4453874,374,KY
Louisiana,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,9.7,584,4670818,537,LA
Maine,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.6,116,1335063,114,ME
Maryland,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8.4,641,6024891,519,MD
Massachusetts,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8.1,714,6863246,568,MA
Michigan,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.1,969,9976447,840,MI
Minnesota,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.9,538,5568155,388,MN
Mississippi,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,9.6,364,2989663,297,MS
Missouri,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.9,641,6108612,534,MO
Montana,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7,102,1053090,81,MT
Nebraska,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.8,142,1917575,100,NE
Nevada,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.3,268,2972405,234,NV
New Hampshire,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.6,105,1349767,94,NH
New Jersey,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.7,888,8888543,662,NJ
New Mexico,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8.9,243,2093395,219,NM
New York,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,9,2268,19590719,1428,NY
North Carolina,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8.6,1126,10270800,818,NC
North Dakota,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.6,50,755176,49,ND
Ohio,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.2,1122,11664129,1019,OH
Oklahoma,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8.3,413,3932640,375,OK
Oregon,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,9.1,517,4146592,379,OR
Pennsylvania,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8.6,1551,12790447,1205,PA
Rhode Island,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.6,106,1056486,103,RI
South Carolina,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8.3,559,5021219,450,SC
South Dakota,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.4,68,873286,61,SD
Tennessee,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8.7,754,6708794,647,TN
Texas,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,11.9,3572,28322717,2497,TX
Utah,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.5,156,3103118,127,UT
Vermont,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.8,52,624525,47,VT
Virginia,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.1,761,8465207,618,VA
Washington,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8.8,822,7425432,643,WA
West Virginia,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8.1,220,1817048,184,WV
Wisconsin,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.5,496,5792051,393,WI
Wyoming,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.7,50,578934,42,WY
Alabama,Lung and Bronchus,2017,Male and Female,All Races,61.7,3927,4875120,2946,AL
Alaska,Lung and Bronchus,2017,Male and Female,All Races,52.9,363,739786,203,AK
Arizona,Lung and Bronchus,2017,Male and Female,All Races,43.3,3968,7048876,2768,AZ
Arkansas,Lung and Bronchus,2017,Male and Female,All Races,71.4,2777,3002997,1954,AR
California,Lung and Bronchus,2017,Male and Female,All Races,38.8,16803,39399349,11555,CA
Colorado,Lung and Bronchus,2017,Male and Female,All Races,39.8,2418,5615902,1495,CO
Connecticut,Lung and Bronchus,2017,Male and Female,All Races,58.7,2792,3573880,1508,CT
Delaware,Lung and Bronchus,2017,Male and Female,All Races,56.7,761,957078,550,DE
District of Columbia,Lung and Bronchus,2017,Male and Female,All Races,42.8,296,695691,202,DC
Florida,Lung and Bronchus,2017,Male and Female,All Races,54.2,17068,20976812,11403,FL
Georgia,Lung and Bronchus,2017,Male and Female,All Races,59.9,6929,10413055,4392,GA
Hawaii,Lung and Bronchus,2017,Male and Female,All Races,44.7,858,1424203,545,HI
Idaho,Lung and Bronchus,2017,Male and Female,All Races,46.9,961,1718904,607,ID
Illinois,Lung and Bronchus,2017,Male and Female,All Races,61.2,9429,12786196,6009,IL
Indiana,Lung and Bronchus,2017,Male and Female,All Races,66.2,5379,6660082,3792,IN
Iowa,Lung and Bronchus,2017,Male and Female,All Races,62.8,2557,3143637,1620,IA
Kansas,Lung and Bronchus,2017,Male and Female,All Races,52.7,1855,2910689,1390,KS
Kentucky,Lung and Bronchus,2017,Male and Female,All Races,87,4933,4453874,3152,KY
Louisiana,Lung and Bronchus,2017,Male and Female,All Races,63.4,3564,4670818,2559,LA
Maine,Lung and Bronchus,2017,Male and Female,All Races,68.4,1392,1335063,919,ME
Maryland,Lung and Bronchus,2017,Male and Female,All Races,54.6,3947,6024891,2575,MD
Massachusetts,Lung and Bronchus,2017,Male and Female,All Races,58.8,5141,6863246,3074,MA
Michigan,Lung and Bronchus,2017,Male and Female,All Races,60.1,7887,9976447,5502,MI
Minnesota,Lung and Bronchus,2017,Male and Female,All Races,53.7,3642,5568155,2316,MN
Mississippi,Lung and Bronchus,2017,Male and Female,All Races,71.7,2647,2989663,1804,MS
Missouri,Lung and Bronchus,2017,Male and Female,All Races,70.8,5625,6108612,3690,MO
Montana,Lung and Bronchus,2017,Male and Female,All Races,47.4,692,1053090,465,MT
Nebraska,Lung and Bronchus,2017,Male and Female,All Races,54.6,1256,1917575,815,NE
Nevada,Lung and Bronchus,2017,Male and Female,All Races,48.5,1709,2972405,1312,NV
New Hampshire,Lung and Bronchus,2017,Male and Female,All Races,60.5,1137,1349767,700,NH
New Jersey,Lung and Bronchus,2017,Male and Female,All Races,51.4,5743,8888543,3562,NJ
New Mexico,Lung and Bronchus,2017,Male and Female,All Races,33.7,905,2093395,678,NM
New York,Lung and Bronchus,2017,Male and Female,All Races,58.3,14364,19590719,7821,NY
North Carolina,Lung and Bronchus,2017,Male and Female,All Races,62.9,8093,10270800,5286,NC
North Dakota,Lung and Bronchus,2017,Male and Female,All Races,60.2,522,755176,310,ND
Ohio,Lung and Bronchus,2017,Male and Female,All Races,63.8,9742,11664129,6796,OH
Oklahoma,Lung and Bronchus,2017,Male and Female,All Races,61.9,2965,3932640,2210,OK
