Area,CancerType,Year,Sex,Race,AgeAdjustedRate,DeathCount,Population
Oregon,Larynx,2017,Male and Female,All Races,0.5,27,4146592
Virginia,Larynx,2017,Male and Female,All Races,1,101,8465207
Mississippi,Larynx,2017,Male and Female,All Races,1.3,47,2989663
West Virginia,Larynx,2017,Male and Female,All Races,1.9,51,1817048
Washington,Larynx,2017,Male and Female,All Races,0.7,60,7425432
Tennessee,Larynx,2017,Male and Female,All Races,1.2,106,6708794
Rhode Island,Larynx,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1056486
Minnesota,Larynx,2017,Male and Female,All Races,0.5,37,5568155
Oklahoma,Larynx,2017,Male and Female,All Races,0.9,44,3932640
Maryland,Larynx,2017,Male and Female,All Races,0.8,58,6024891
North Carolina,Larynx,2017,Male and Female,All Races,1.1,137,10270800
Hawaii,Larynx,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1424203
Kansas,Larynx,2017,Male and Female,All Races,0.5,20,2910689
Florida,Larynx,2017,Male and Female,All Races,1.2,355,20976812
District of Columbia,Larynx,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,695691
Missouri,Larynx,2017,Male and Female,All Races,1.1,89,6108612
Alabama,Larynx,2017,Male and Female,All Races,1.1,75,4875120
Delaware,Larynx,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,957078
Nebraska,Larynx,2017,Male and Female,All Races,1.2,28,1917575
Arkansas,Larynx,2017,Male and Female,All Races,1.2,48,3002997
Iowa,Larynx,2017,Male and Female,All Races,1,42,3143637
Wisconsin,Larynx,2017,Male and Female,All Races,1,77,5792051
Pennsylvania,Larynx,2017,Male and Female,All Races,1,183,12790447
South Dakota,Larynx,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,873286
Kentucky,Larynx,2017,Male and Female,All Races,1.4,81,4453874
Maine,Larynx,2017,Male and Female,All Races,1.3,25,1335063
South Carolina,Larynx,2017,Male and Female,All Races,1.4,95,5021219
Louisiana,Larynx,2017,Male and Female,All Races,1.2,68,4670818
Vermont,Larynx,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,624525
Arizona,Larynx,2017,Male and Female,All Races,0.7,70,7048876
Ohio,Larynx,2017,Male and Female,All Races,1.2,187,11664129
North Dakota,Larynx,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,755176
New Jersey,Larynx,2017,Male and Female,All Races,0.8,88,8888543
New Hampshire,Larynx,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1349767
New York,Larynx,2017,Male and Female,All Races,0.8,204,19590719
Illinois,Larynx,2017,Male and Female,All Races,1,152,12786196
Indiana,Larynx,2017,Male and Female,All Races,1,79,6660082
Michigan,Larynx,2017,Male and Female,All Races,1.2,159,9976447
Massachusetts,Larynx,2017,Male and Female,All Races,0.8,70,6863246
Connecticut,Larynx,2017,Male and Female,All Races,0.9,40,3573880
Nevada,Leukemias,2017,Male and Female,All Races,5.8,188,2972405
Idaho,Leukemias,2017,Male and Female,All Races,6.9,131,1718904
Wyoming,Leukemias,2017,Male and Female,All Races,4.9,36,578934
Colorado,Leukemias,2017,Male and Female,All Races,5.4,318,5615902
Georgia,Leukemias,2017,Male and Female,All Races,6.1,633,10413055
Montana,Leukemias,2017,Male and Female,All Races,5.9,79,1053090
Texas,Leukemias,2017,Male and Female,All Races,6.1,1631,28322717
New Mexico,Leukemias,2017,Male and Female,All Races,4.8,121,2093395
Utah,Leukemias,2017,Male and Female,All Races,6.2,160,3103118
California,Leukemias,2017,Male and Female,All Races,5.7,2379,39399349
Alaska,Leukemias,2017,Male and Female,All Races,4.6,30,739786
Oregon,Leukemias,2017,Male and Female,All Races,6.9,348,4146592
Virginia,Leukemias,2017,Male and Female,All Races,5.8,545,8465207
Mississippi,Leukemias,2017,Male and Female,All Races,6.8,228,2989663
West Virginia,Leukemias,2017,Male and Female,All Races,7,176,1817048
Washington,Leukemias,2017,Male and Female,All Races,6.1,502,7425432
Tennessee,Leukemias,2017,Male and Female,All Races,6.5,515,6708794
Rhode Island,Leukemias,2017,Male and Female,All Races,6.8,93,1056486
Minnesota,Leukemias,2017,Male and Female,All Races,6.7,443,5568155
Florida,Leukemias,2017,Male and Female,All Races,6.2,1876,20976812
Oklahoma,Leukemias,2017,Male and Female,All Races,6.8,302,3932640
Maryland,Leukemias,2017,Male and Female,All Races,6.1,420,6024891
North Carolina,Leukemias,2017,Male and Female,All Races,5.8,684,10270800
South Dakota,Leukemias,2017,Male and Female,All Races,5.6,62,873286
Missouri,Leukemias,2017,Male and Female,All Races,6.6,489,6108612
Maine,Leukemias,2017,Male and Female,All Races,6.9,128,1335063
Kansas,Leukemias,2017,Male and Female,All Races,7.2,247,2910689
Hawaii,Leukemias,2017,Male and Female,All Races,5,96,1424203
District of Columbia,Leukemias,2017,Male and Female,All Races,5.4,37,695691
North Dakota,Leukemias,2017,Male and Female,All Races,7.5,65,755176
Nebraska,Leukemias,2017,Male and Female,All Races,6.5,151,1917575
Arkansas,Leukemias,2017,Male and Female,All Races,6.4,236,3002997
Wisconsin,Leukemias,2017,Male and Female,All Races,6.6,482,5792051
Pennsylvania,Leukemias,2017,Male and Female,All Races,6.5,1122,12790447
Alabama,Leukemias,2017,Male and Female,All Races,6,354,4875120
Kentucky,Leukemias,2017,Male and Female,All Races,6.9,362,4453874
South Carolina,Leukemias,2017,Male and Female,All Races,6.2,375,5021219
Vermont,Leukemias,2017,Male and Female,All Races,5.7,50,624525
Arizona,Leukemias,2017,Male and Female,All Races,5.9,501,7048876
Ohio,Leukemias,2017,Male and Female,All Races,6.8,993,11664129
New Jersey,Leukemias,2017,Male and Female,All Races,6.5,699,8888543
Delaware,Leukemias,2017,Male and Female,All Races,6.8,88,957078
New Hampshire,Leukemias,2017,Male and Female,All Races,5.4,97,1349767
New York,Leukemias,2017,Male and Female,All Races,5.8,1407,19590719
Iowa,Leukemias,2017,Male and Female,All Races,7,277,3143637
Illinois,Leukemias,2017,Male and Female,All Races,6.4,939,12786196
Indiana,Leukemias,2017,Male and Female,All Races,6.6,513,6660082
Louisiana,Leukemias,2017,Male and Female,All Races,6.3,323,4670818
Massachusetts,Leukemias,2017,Male and Female,All Races,6,510,6863246
Michigan,Leukemias,2017,Male and Female,All Races,6.6,816,9976447
Connecticut,Leukemias,2017,Male and Female,All Races,5.9,270,3573880
Nevada,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.5,234,2972405
Idaho,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.9,122,1718904
Wyoming,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.7,42,578934
Colorado,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.6,364,5615902
Georgia,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.5,760,10413055
Montana,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.3,81,1053090
Texas,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8.5,2497,28322717
New Mexico,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8,219,2093395
Utah,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,4.8,127,3103118
California,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.7,3456,39399349
Alaska,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.2,40,739786
Oregon,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.6,379,4146592
Virginia,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6,618,8465207
Mississippi,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8.1,297,2989663
West Virginia,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7,184,1817048
Washington,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.1,643,7425432
Tennessee,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.6,647,6708794
Rhode Island,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.5,103,1056486
Minnesota,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.8,388,5568155
Florida,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.1,1925,20976812
Oklahoma,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.6,375,3932640
Maryland,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.8,519,6024891
North Carolina,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.3,818,10270800
South Dakota,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.5,61,873286
Missouri,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.7,534,6108612
Maine,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.5,114,1335063
Kansas,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.7,207,2910689
Hawaii,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,7.7,153,1424203
District of Columbia,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8.2,58,695691
North Dakota,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.3,49,755176
Delaware,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,8.4,115,957078
Nebraska,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,4.1,100,1917575
Iowa,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.7,233,3143637
Wisconsin,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.3,393,5792051
Arkansas,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.8,266,3002997
Pennsylvania,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.6,1205,12790447
Kentucky,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.5,374,4453874
South Carolina,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.7,450,5021219
Alabama,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.6,428,4875120
Vermont,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.4,47,624525
Arizona,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.3,580,7048876
Ohio,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.6,1019,11664129
New Jersey,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.8,662,8888543
New Hampshire,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.2,94,1349767
New York,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,5.8,1428,19590719
Illinois,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.1,956,12786196
Indiana,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6,499,6660082
Louisiana,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,9.2,537,4670818
Massachusetts,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.4,568,6863246
Michigan,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6.2,840,9976447
Connecticut,Liver and Intrahepatic Bile Duct,2017,Male and Female,All Races,6,296,3573880
Idaho,Lung and Bronchus,2017,Male and Female,All Races,30.1,607,1718904
Wyoming,Lung and Bronchus,2017,Male and Female,All Races,30.6,216,578934
Colorado,Lung and Bronchus,2017,Male and Female,All Races,24.8,1495,5615902
Montana,Lung and Bronchus,2017,Male and Female,All Races,32.5,465,1053090
New Mexico,Lung and Bronchus,2017,Male and Female,All Races,25.6,678,2093395
Utah,Lung and Bronchus,2017,Male and Female,All Races,17.2,451,3103118
California,Lung and Bronchus,2017,Male and Female,All Races,26.8,11555,39399349
Alaska,Lung and Bronchus,2017,Male and Female,All Races,31.3,203,739786
Oregon,Lung and Bronchus,2017,Male and Female,All Races,35.1,1865,4146592
Tennessee,Lung and Bronchus,2017,Male and Female,All Races,47.4,4001,6708794
Nevada,Lung and Bronchus,2017,Male and Female,All Races,38.4,1312,2972405
Rhode Island,Lung and Bronchus,2017,Male and Female,All Races,39.6,556,1056486
Minnesota,Lung and Bronchus,2017,Male and Female,All Races,34.1,2316,5568155
Georgia,Lung and Bronchus,2017,Male and Female,All Races,39,4392,10413055
Oklahoma,Lung and Bronchus,2017,Male and Female,All Races,46.7,2210,3932640
Florida,Lung and Bronchus,2017,Male and Female,All Races,35.9,11403,20976812
Texas,Lung and Bronchus,2017,Male and Female,All Races,32.9,9109,28322717
Maryland,Lung and Bronchus,2017,Male and Female,All Races,36.1,2575,6024891
North Carolina,Lung and Bronchus,2017,Male and Female,All Races,41.9,5286,10270800
Washington,Lung and Bronchus,2017,Male and Female,All Races,34,2928,7425432
South Dakota,Lung and Bronchus,2017,Male and Female,All Races,38.5,422,873286
Missouri,Lung and Bronchus,2017,Male and Female,All Races,46.7,3690,6108612
Maine,Lung and Bronchus,2017,Male and Female,All Races,44.6,919,1335063
Kansas,Lung and Bronchus,2017,Male and Female,All Races,39.3,1390,2910689
Hawaii,Lung and Bronchus,2017,Male and Female,All Races,28.4,545,1424203
Virginia,Lung and Bronchus,2017,Male and Female,All Races,36.8,3710,8465207
District of Columbia,Lung and Bronchus,2017,Male and Female,All Races,30.4,202,695691
Mississippi,Lung and Bronchus,2017,Male and Female,All Races,49.3,1804,2989663
North Dakota,Lung and Bronchus,2017,Male and Female,All Races,34.8,310,755176
West Virginia,Lung and Bronchus,2017,Male and Female,All Races,49.4,1338,1817048
Delaware,Lung and Bronchus,2017,Male and Female,All Races,41.3,550,957078
Arkansas,Lung and Bronchus,2017,Male and Female,All Races,50.9,1954,3002997
Pennsylvania,Lung and Bronchus,2017,Male and Female,All Races,38.7,6910,12790447
Iowa,Lung and Bronchus,2017,Male and Female,All Races,39.5,1620,3143637
Kentucky,Lung and Bronchus,2017,Male and Female,All Races,56.7,3152,4453874
South Carolina,Lung and Bronchus,2017,Male and Female,All Races,41.1,2700,5021219
Alabama,Lung and Bronchus,2017,Male and Female,All Races,46.6,2946,4875120
Vermont,Lung and Bronchus,2017,Male and Female,All Races,39.7,356,624525
Arizona,Lung and Bronchus,2017,Male and Female,All Races,30.3,2768,7048876
Ohio,Lung and Bronchus,2017,Male and Female,All Races,44.6,6796,11664129
New Jersey,Lung and Bronchus,2017,Male and Female,All Races,31.8,3562,8888543
New Hampshire,Lung and Bronchus,2017,Male and Female,All Races,38.6,700,1349767
Nebraska,Lung and Bronchus,2017,Male and Female,All Races,35.8,815,1917575
New York,Lung and Bronchus,2017,Male and Female,All Races,31.6,7821,19590719
Wisconsin,Lung and Bronchus,2017,Male and Female,All Races,37.6,2802,5792051
Illinois,Lung and Bronchus,2017,Male and Female,All Races,39.1,6009,12786196
Indiana,Lung and Bronchus,2017,Male and Female,All Races,47.3,3792,6660082
Louisiana,Lung and Bronchus,2017,Male and Female,All Races,46.3,2559,4670818
Massachusetts,Lung and Bronchus,2017,Male and Female,All Races,35.3,3074,6863246
Michigan,Lung and Bronchus,2017,Male and Female,All Races,42.3,5502,9976447
Connecticut,Lung and Bronchus,2017,Male and Female,All Races,31.7,1508,3573880
Nevada,Melanomas of the Skin,2017,Male and Female,All Races,2.6,82,2972405
Idaho,Melanomas of the Skin,2017,Male and Female,All Races,2.4,48,1718904
Wyoming,Melanomas of the Skin,2017,Male and Female,All Races,3.8,24,578934
Colorado,Melanomas of the Skin,2017,Male and Female,All Races,2.7,162,5615902
Georgia,Melanomas of the Skin,2017,Male and Female,All Races,1.9,201,10413055
Montana,Melanomas of the Skin,2017,Male and Female,All Races,2.5,35,1053090
Texas,Melanomas of the Skin,2017,Male and Female,All Races,1.8,495,28322717
New Mexico,Melanomas of the Skin,2017,Male and Female,All Races,2,50,2093395
Utah,Melanomas of the Skin,2017,Male and Female,All Races,2.5,68,3103118
California,Melanomas of the Skin,2017,Male and Female,All Races,1.9,821,39399349
Alaska,Melanomas of the Skin,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,739786
Oregon,Melanomas of the Skin,2017,Male and Female,All Races,2.6,133,4146592
Virginia,Melanomas of the Skin,2017,Male and Female,All Races,2,190,8465207
Mississippi,Melanomas of the Skin,2017,Male and Female,All Races,1.9,68,2989663
West Virginia,Melanomas of the Skin,2017,Male and Female,All Races,2.9,71,1817048
Tennessee,Melanomas of the Skin,2017,Male and Female,All Races,2.6,213,6708794
Rhode Island,Melanomas of the Skin,2017,Male and Female,All Races,2.3,29,1056486
Minnesota,Melanomas of the Skin,2017,Male and Female,All Races,1.8,122,5568155
Oklahoma,Melanomas of the Skin,2017,Male and Female,All Races,2.7,118,3932640
Florida,Melanomas of the Skin,2017,Male and Female,All Races,2.1,627,20976812
Maryland,Melanomas of the Skin,2017,Male and Female,All Races,1.6,112,6024891
North Carolina,Melanomas of the Skin,2017,Male and Female,All Races,2.1,252,10270800
Washington,Melanomas of the Skin,2017,Male and Female,All Races,2.2,192,7425432
South Dakota,Melanomas of the Skin,2017,Male and Female,All Races,2.5,26,873286
Missouri,Melanomas of the Skin,2017,Male and Female,All Races,2.4,174,6108612
Maine,Melanomas of the Skin,2017,Male and Female,All Races,2.4,46,1335063
Kansas,Melanomas of the Skin,2017,Male and Female,All Races,2.2,77,2910689
Hawaii,Melanomas of the Skin,2017,Male and Female,All Races,1,18,1424203
District of Columbia,Melanomas of the Skin,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,695691
North Dakota,Melanomas of the Skin,2017,Male and Female,All Races,2.4,21,755176
Delaware,Melanomas of the Skin,2017,Male and Female,All Races,2.4,29,957078
Nebraska,Melanomas of the Skin,2017,Male and Female,All Races,2.2,50,1917575
Arkansas,Melanomas of the Skin,2017,Male and Female,All Races,1.6,59,3002997
Iowa,Melanomas of the Skin,2017,Male and Female,All Races,2.7,107,3143637
Wisconsin,Melanomas of the Skin,2017,Male and Female,All Races,2.1,153,5792051
Pennsylvania,Melanomas of the Skin,2017,Male and Female,All Races,2.4,405,12790447
Kentucky,Melanomas of the Skin,2017,Male and Female,All Races,2.7,146,4453874
Alabama,Melanomas of the Skin,2017,Male and Female,All Races,2.3,135,4875120
South Carolina,Melanomas of the Skin,2017,Male and Female,All Races,2.1,127,5021219
Louisiana,Melanomas of the Skin,2017,Male and Female,All Races,1.5,77,4670818
Vermont,Melanomas of the Skin,2017,Male and Female,All Races,2,17,624525
Arizona,Melanomas of the Skin,2017,Male and Female,All Races,2.2,190,7048876
Ohio,Melanomas of the Skin,2017,Male and Female,All Races,2.7,384,11664129
New Jersey,Melanomas of the Skin,2017,Male and Female,All Races,1.9,210,8888543
New Hampshire,Melanomas of the Skin,2017,Male and Female,All Races,3.4,54,1349767
New York,Melanomas of the Skin,2017,Male and Female,All Races,1.6,401,19590719
Illinois,Melanomas of the Skin,2017,Male and Female,All Races,2,300,12786196
Indiana,Melanomas of the Skin,2017,Male and Female,All Races,2.4,184,6660082
Massachusetts,Melanomas of the Skin,2017,Male and Female,All Races,2.3,200,6863246
Michigan,Melanomas of the Skin,2017,Male and Female,All Races,2.1,257,9976447
Connecticut,Melanomas of the Skin,2017,Male and Female,All Races,1.7,80,3573880
Nevada,Mesothelioma,2017,Male and Female,All Races,0.5,16,2972405
Idaho,Mesothelioma,2017,Male and Female,All Races,1.2,22,1718904
Wyoming,Mesothelioma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,578934
Colorado,Mesothelioma,2017,Male and Female,All Races,0.6,37,5615902
Georgia,Mesothelioma,2017,Male and Female,All Races,0.4,43,10413055
Texas,Mesothelioma,2017,Male and Female,All Races,0.4,115,28322717
Montana,Mesothelioma,2017,Male and Female,All Races,1.4,21,1053090
New Mexico,Mesothelioma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,2093395
Utah,Mesothelioma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,3103118
California,Mesothelioma,2017,Male and Female,All Races,0.6,247,39399349
Alaska,Mesothelioma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,739786
Oregon,Mesothelioma,2017,Male and Female,All Races,0.8,41,4146592
Virginia,Mesothelioma,2017,Male and Female,All Races,0.8,78,8465207
Mississippi,Mesothelioma,2017,Male and Female,All Races,0.6,18,2989663
West Virginia,Mesothelioma,2017,Male and Female,All Races,0.9,22,1817048
Washington,Mesothelioma,2017,Male and Female,All Races,1.1,89,7425432
Tennessee,Mesothelioma,2017,Male and Female,All Races,0.7,55,6708794
Rhode Island,Mesothelioma,2017,Male and Female,All Races,1.5,19,1056486
Minnesota,Mesothelioma,2017,Male and Female,All Races,0.9,61,5568155
Oklahoma,Mesothelioma,2017,Male and Female,All Races,0.7,34,3932640
Florida,Mesothelioma,2017,Male and Female,All Races,0.6,182,20976812
Maryland,Mesothelioma,2017,Male and Female,All Races,0.6,45,6024891
North Carolina,Mesothelioma,2017,Male and Female,All Races,0.5,59,10270800
Hawaii,Mesothelioma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1424203
Missouri,Mesothelioma,2017,Male and Female,All Races,0.6,41,6108612
Kansas,Mesothelioma,2017,Male and Female,All Races,0.6,20,2910689
District of Columbia,Mesothelioma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,695691
Alabama,Mesothelioma,2017,Male and Female,All Races,0.7,43,4875120
Nebraska,Mesothelioma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1917575
Arkansas,Mesothelioma,2017,Male and Female,All Races,0.4,17,3002997
Iowa,Mesothelioma,2017,Male and Female,All Races,0.6,27,3143637
Wisconsin,Mesothelioma,2017,Male and Female,All Races,1,70,5792051
Pennsylvania,Mesothelioma,2017,Male and Female,All Races,0.9,162,12790447
South Dakota,Mesothelioma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,873286
Kentucky,Mesothelioma,2017,Male and Female,All Races,0.6,35,4453874
Maine,Mesothelioma,2017,Male and Female,All Races,1.2,23,1335063
South Carolina,Mesothelioma,2017,Male and Female,All Races,0.7,45,5021219
Louisiana,Mesothelioma,2017,Male and Female,All Races,0.8,43,4670818
Vermont,Mesothelioma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,624525
Arizona,Mesothelioma,2017,Male and Female,All Races,0.6,52,7048876
Ohio,Mesothelioma,2017,Male and Female,All Races,0.9,134,11664129
North Dakota,Mesothelioma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,755176
New Jersey,Mesothelioma,2017,Male and Female,All Races,0.9,98,8888543
Delaware,Mesothelioma,2017,Male and Female,All Races,1.6,19,957078
New Hampshire,Mesothelioma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1349767
New York,Mesothelioma,2017,Male and Female,All Races,0.5,130,19590719
Illinois,Mesothelioma,2017,Male and Female,All Races,0.8,116,12786196
Indiana,Mesothelioma,2017,Male and Female,All Races,0.8,59,6660082
Michigan,Mesothelioma,2017,Male and Female,All Races,0.9,108,9976447
Massachusetts,Mesothelioma,2017,Male and Female,All Races,0.9,79,6863246
Connecticut,Mesothelioma,2017,Male and Female,All Races,0.9,41,3573880
Nevada,Myeloma,2017,Male and Female,All Races,2.4,78,2972405
Idaho,Myeloma,2017,Male and Female,All Races,4.1,78,1718904
Wyoming,Myeloma,2017,Male and Female,All Races,2.4,16,578934
Colorado,Myeloma,2017,Male and Female,All Races,3.1,178,5615902
Georgia,Myeloma,2017,Male and Female,All Races,3.6,383,10413055
Texas,Myeloma,2017,Male and Female,All Races,3.4,915,28322717
Montana,Myeloma,2017,Male and Female,All Races,3.1,44,1053090
New Mexico,Myeloma,2017,Male and Female,All Races,2.9,78,2093395
Utah,Myeloma,2017,Male and Female,All Races,2.9,75,3103118
California,Myeloma,2017,Male and Female,All Races,2.8,1212,39399349
Alaska,Myeloma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,739786
Oregon,Myeloma,2017,Male and Female,All Races,3.2,167,4146592
Virginia,Myeloma,2017,Male and Female,All Races,3.3,328,8465207
Mississippi,Myeloma,2017,Male and Female,All Races,4.2,145,2989663
West Virginia,Myeloma,2017,Male and Female,All Races,3.1,81,1817048
Washington,Myeloma,2017,Male and Female,All Races,3,244,7425432
Tennessee,Myeloma,2017,Male and Female,All Races,3.4,273,6708794
Rhode Island,Myeloma,2017,Male and Female,All Races,2.7,40,1056486
Minnesota,Myeloma,2017,Male and Female,All Races,2.9,189,5568155
Florida,Myeloma,2017,Male and Female,All Races,2.8,879,20976812
Oklahoma,Myeloma,2017,Male and Female,All Races,3.1,142,3932640
Maryland,Myeloma,2017,Male and Female,All Races,3.6,258,6024891
North Carolina,Myeloma,2017,Male and Female,All Races,3.5,431,10270800
South Dakota,Myeloma,2017,Male and Female,All Races,3.9,43,873286
Missouri,Myeloma,2017,Male and Female,All Races,3.1,240,6108612
Maine,Myeloma,2017,Male and Female,All Races,3.4,68,1335063
Kansas,Myeloma,2017,Male and Female,All Races,3.1,102,2910689
Hawaii,Myeloma,2017,Male and Female,All Races,2.2,46,1424203
District of Columbia,Myeloma,2017,Male and Female,All Races,4.6,30,695691
North Dakota,Myeloma,2017,Male and Female,All Races,2.7,25,755176
Delaware,Myeloma,2017,Male and Female,All Races,3.4,46,957078
Nebraska,Myeloma,2017,Male and Female,All Races,2.9,69,1917575
Arkansas,Myeloma,2017,Male and Female,All Races,3.2,120,3002997
Iowa,Myeloma,2017,Male and Female,All Races,4,163,3143637
Wisconsin,Myeloma,2017,Male and Female,All Races,3,223,5792051
Pennsylvania,Myeloma,2017,Male and Female,All Races,3.3,567,12790447
Kentucky,Myeloma,2017,Male and Female,All Races,3.2,175,4453874
Alabama,Myeloma,2017,Male and Female,All Races,3.4,208,4875120
South Carolina,Myeloma,2017,Male and Female,All Races,4,253,5021219
Louisiana,Myeloma,2017,Male and Female,All Races,3.8,202,4670818
Vermont,Myeloma,2017,Male and Female,All Races,2.3,21,624525
Arizona,Myeloma,2017,Male and Female,All Races,2.9,260,7048876
Ohio,Myeloma,2017,Male and Female,All Races,3.6,533,11664129
New Jersey,Myeloma,2017,Male and Female,All Races,3,324,8888543
New Hampshire,Myeloma,2017,Male and Female,All Races,3,54,1349767
New York,Myeloma,2017,Male and Female,All Races,2.9,728,19590719
Illinois,Myeloma,2017,Male and Female,All Races,3.2,479,12786196
Indiana,Myeloma,2017,Male and Female,All Races,3.3,259,6660082
Massachusetts,Myeloma,2017,Male and Female,All Races,2.9,250,6863246
Michigan,Myeloma,2017,Male and Female,All Races,3.7,467,9976447
Connecticut,Myeloma,2017,Male and Female,All Races,2.6,120,3573880
Nevada,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.5,174,2972405
Idaho,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,6.1,119,1718904
Wyoming,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,4.1,26,578934
Colorado,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,4.6,267,5615902
Georgia,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5,515,10413055
Montana,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,6.3,85,1053090
Texas,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.1,1347,28322717
New Mexico,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,4.5,118,2093395
Utah,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.3,132,3103118
California,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.2,2222,39399349
Alaska,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.4,33,739786
Oregon,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.4,280,4146592
Virginia,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,4.8,460,8465207
Mississippi,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,4.7,161,2989663
West Virginia,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,6.3,162,1817048
Washington,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.3,449,7425432
Tennessee,Non-Hodgkin Lymphoma,2017,Male and Female,All Races,5.5,445,6708794
